First Name,Last Name,Month,Day,Year,Occasion
Menachem,Schneerson,4,16,2019,Birthday
Menachem,Schneerson,4,5,2020,Birthday
Menachem,Schneerson,3,24,2021,Birthday
Menachem,Schneerson,7,6,2019,Passing
Menachem,Schneerson,6,25,2020,Passing
Menachem,Schneerson,6,13,2021,Passing
Menachem,Schneerson,11,22,2018,Anniversary
Menachem,Schneerson,12,12,2019,Anniversary
Menachem,Schneerson,11,30,2020,Anniversary
Alter,Rebbe,1,1,2019,Passing
Alter,Rebbe,1,21,2020,Passing
Alter,Rebbe,1,8,2021,Passing
Tzemach,Tzedek,9,29,2019,Birthdays
Tzemach,Tzedek,9,18,2020,Birthdays
Tzemach,Tzedek,9,6,2021,Birthdays
